PERIOD_START_TIME,PLMN name,RNC name,RRC Connection setup SR,Call Setup Success Rate CS -Speech,HSDPA Accessibility,HSUPA Accessibility,CSSR for PS,Soft Handover Success Rate CS and PS,IRAT HO Success Rate CS,3G Traffic CS - Speech,PS HSUPA Volume,PS HSDPA Volume,AVG Nbr of HSDPA Users,AVG Nbr of HSUPA Users,CS drop rate,PS Global RAB Drop Rate,PS HSDPA RAB Drop Rate,PS HSUPA RAB Drop Rate,PS HSDPA Throughput,PS HSUPA Throughput,PS R99 Setup SR User,PS R99 Drop Rate User,PS R99 DL Data Volume,PS R99 UL Data Volume,Packet Loss,RRC Drop rate
2/25/18 18:00,PLMN,N103,99.9993,99.9029,99.8383,99.8679,99.2772,99.9773,97.7273,1833.2875,151.2318,752.9048,2.5291,3.1789,0.266,0.5645,0.4082,0.3814,4140.7038,223.212,100,2.7431,0.1606,0.0721,0.1414,0.31
2/25/18 18:00,PLMN,N104,100,99.77,99.6039,99.6919,98.6064,99.9591,98.3144,397.7159,110.7926,659.3352,6.2901,7.357,0.5794,0.9828,0.5882,0.4766,4716.437,523.5361,100,3.2384,0.0914,0.0537,1.3179,0.53
2/25/18 18:00,PLMN,N105,99.9934,99.61,99.3692,99.5775,98.7489,99.9517,98.1623,451.4757,138.3946,692.9809,5.8225,6.9332,0.5333,1.5334,0.8407,0.7567,3865.8325,401.589,99.8413,3.9901,0.1386,0.0993,0.7621,0.66
2/25/18 18:00,PLMN,N107,99.9986,99.8442,99.7027,99.7817,99.0211,99.9676,97.9299,1340.9908,136.0722,640.2921,3.1411,3.8997,0.3288,0.893,0.5775,0.5192,3901.0247,275.0735,96.8539,3.6318,0.1227,0.074,0.1421,0.46
2/25/18 18:00,PLMN,N108,99.9984,99.78,99.6782,99.7572,98.8313,99.9506,98.1378,701.3717,127.3347,770.9917,4.561,5.6529,0.4742,0.9141,0.5754,0.5093,4314.375,382.9134,100,3.7435,0.1457,0.0775,2.4421,0.43
2/25/18 18:00,PLMN,N109,99.9983,99.6878,99.6857,99.7405,98.7417,99.9555,97.4026,722.0688,136.4017,818.4702,6.3392,7.752,0.2704,1.1373,0.4229,0.4399,4144.8523,446.5556,99.5238,3.3711,0.1263,0.0823,0.6379,0.49
2/25/18 18:00,PLMN,N110,99.9812,99.7404,99.5659,99.6611,98.4877,99.8765,98.1906,656.4607,128.3141,709.8077,4.9483,6.0632,0.4591,1.3575,0.6262,0.541,4296.4664,367.8493,99.2424,2.2908,0.4771,0.4457,4.5583,0.64
2/25/18 18:00,PLMN,N112,99.9994,99.8231,99.7554,99.805,98.9715,99.9712,95.8506,498.8209,118.3989,643.2194,5.495,6.7573,0.3999,0.8869,0.4701,0.4413,4126.6429,426.722,99.4681,1.932,0.0848,0.0674,0.5372,0.44
2/25/18 18:00,PLMN,N114,100,99.7012,99.6702,99.7648,98.8823,99.9682,96.633,763.416,111.9693,628.5774,5.6101,6.8383,0.4356,1.0319,0.6581,0.5789,3939.5652,361.5785,99.7512,2.8535,0.0504,0.0324,1.732,0.47
2/25/18 18:00,PLMN,N115,100,99.8693,99.8228,99.8641,99.2634,99.9784,97.5217,1388.916,129.0864,747.7394,2.191,2.7412,0.2896,0.4716,0.454,0.4029,4315.8855,244.1104,100,3.2446,0.133,0.0696,0.7345,0.27
